filename,url,description,category
p17ru.pdf,https://www.irs.gov/pub/irs-pdf/p17ru.pdf,2025 Publ 17 (ru)                        (PDF),publications
i1040c.pdf,https://www.irs.gov/pub/irs-pdf/i1040c.pdf,0126 Inst 1040-C                         (PDF),instructions
i2210f.pdf,https://www.irs.gov/pub/irs-pdf/i2210f.pdf,2025 Inst 2210-F                         (PDF),instructions
p5945.pdf,https://www.irs.gov/pub/irs-pdf/p5945.pdf,0226 Publ 5945                           (PDF),publications
p4012a.pdf,https://www.irs.gov/pub/irs-pdf/p4012a.pdf,0226 Publ 4012-A                         (PDF),publications
p3067.pdf,https://www.irs.gov/pub/irs-pdf/p3067.pdf,0226 Publ 3067                           (PDF),publications
p502.pdf,https://www.irs.gov/pub/irs-pdf/p502.pdf,2025 Publ 502                            (PDF),publications
p5533zhs.pdf,https://www.irs.gov/pub/irs-pdf/p5533zhs.pdf,0925 Publ 5533 (zh-s)                    (PDF),publications
p908.pdf,https://www.irs.gov/pub/irs-pdf/p908.pdf,1225 Publ 908                            (PDF),publications
f5500ez.pdf,https://www.irs.gov/pub/irs-pdf/f5500ez.pdf,2025 Form 5500-EZ                        (PDF),forms
i5500ez.pdf,https://www.irs.gov/pub/irs-pdf/i5500ez.pdf,2025 Inst 5500-EZ                        (PDF),instructions
f1040esn.pdf,https://www.irs.gov/pub/irs-pdf/f1040esn.pdf,2026 Form 1040-ES (NR)                   (PDF),forms
p974.pdf,https://www.irs.gov/pub/irs-pdf/p974.pdf,2025 Publ 974                            (PDF),publications
p5164.pdf,https://www.irs.gov/pub/irs-pdf/p5164.pdf,1225 Publ 5164                           (PDF),publications
p5198.pdf,https://www.irs.gov/pub/irs-pdf/p5198.pdf,1225 Publ 5198                           (PDF),publications
i8940.pdf,https://www.irs.gov/pub/irs-pdf/i8940.pdf,1225 Inst 8940                           (PDF),instructions
f8879te.pdf,https://www.irs.gov/pub/irs-pdf/f8879te.pdf,2025 Form 8879-TE                        (PDF),forms
p969.pdf,https://www.irs.gov/pub/irs-pdf/p969.pdf,2025 Publ 969                            (PDF),publications
i1042s--2025.pdf,https://www.irs.gov/pub/irs-pdf/i1042s--2025.pdf,2025 Inst 1042-S                         (PDF),instructions
f1042s--2025.pdf,https://www.irs.gov/pub/irs-pdf/f1042s--2025.pdf,2025 Form 1042-S                         (PDF),forms
p2104c.pdf,https://www.irs.gov/pub/irs-pdf/p2104c.pdf,1225 Publ 2104-C                         (PDF),publications
p2104.pdf,https://www.irs.gov/pub/irs-pdf/p2104.pdf,1225 Publ 2104                           (PDF),publications
p5286.pdf,https://www.irs.gov/pub/irs-pdf/p5286.pdf,1225 Publ 5286                           (PDF),publications
i4562.pdf,https://www.irs.gov/pub/irs-pdf/i4562.pdf,2025 Inst 4562                           (PDF),instructions
p6021.pdf,https://www.irs.gov/pub/irs-pdf/p6021.pdf,0226 Publ 6021                           (PDF),publications
f1040es.pdf,https://www.irs.gov/pub/irs-pdf/f1040es.pdf,2026 Form 1040-ES                        (PDF),forms
p721.pdf,https://www.irs.gov/pub/irs-pdf/p721.pdf,2025 Publ 721                            (PDF),publications
p334.pdf,https://www.irs.gov/pub/irs-pdf/p334.pdf,2025 Publ 334                            (PDF),publications
fw4ht.pdf,https://www.irs.gov/pub/irs-pdf/fw4ht.pdf,2026 Form W-4 (ht)                       (PDF),forms
i1120fsc.pdf,https://www.irs.gov/pub/irs-pdf/i1120fsc.pdf,1225 Inst 1120-FSC                       (PDF),instructions
p526.pdf,https://www.irs.gov/pub/irs-pdf/p526.pdf,2025 Publ 526                            (PDF),publications
f14388.pdf,https://www.irs.gov/pub/irs-pdf/f14388.pdf,0224 Form 14388                          (PDF),forms
fw4zht.pdf,https://www.irs.gov/pub/irs-pdf/fw4zht.pdf,2026 Form W-4 (zh-t)                     (PDF),forms
p544.pdf,https://www.irs.gov/pub/irs-pdf/p544.pdf,2025 Publ 544                            (PDF),publications
p5490.pdf,https://www.irs.gov/pub/irs-pdf/p5490.pdf,0126 Publ 5490                           (PDF),publications
p5717.pdf,https://www.irs.gov/pub/irs-pdf/p5717.pdf,0226 Publ 5717                           (PDF),publications
p970.pdf,https://www.irs.gov/pub/irs-pdf/p970.pdf,2025 Publ 970                            (PDF),publications
p559.pdf,https://www.irs.gov/pub/irs-pdf/p559.pdf,2025 Publ 559                            (PDF),publications
f3921.pdf,https://www.irs.gov/pub/irs-pdf/f3921.pdf,0425 Form 3921                           (PDF),forms
p547vie.pdf,https://www.irs.gov/pub/irs-pdf/p547vie.pdf,2025 Publ 547 (vie)                      (PDF),publications
i8697.pdf,https://www.irs.gov/pub/irs-pdf/i8697.pdf,1225 Inst 8697                           (PDF),instructions
p6130.pdf,https://www.irs.gov/pub/irs-pdf/p6130.pdf,0226 Publ 6130                           (PDF),publications
p5084.pdf,https://www.irs.gov/pub/irs-pdf/p5084.pdf,0226 Publ 5084                           (PDF),publications
p510.pdf,https://www.irs.gov/pub/irs-pdf/p510.pdf,1225 Publ 510                            (PDF),publications
i6765.pdf,https://www.irs.gov/pub/irs-pdf/i6765.pdf,1225 Inst 6765                           (PDF),instructions
i1040sp.pdf,https://www.irs.gov/pub/irs-pdf/i1040sp.pdf,2025 Inst 1040 (sp)                      (PDF),instructions
fw4zhs.pdf,https://www.irs.gov/pub/irs-pdf/fw4zhs.pdf,2026 Form W-4 (zh-s)                     (PDF),forms
p5348a.pdf,https://www.irs.gov/pub/irs-pdf/p5348a.pdf,1225 Publ 5348-A                         (PDF),publications
p5349a.pdf,https://www.irs.gov/pub/irs-pdf/p5349a.pdf,1225 Publ 5349-A                         (PDF),publications
i8960.pdf,https://www.irs.gov/pub/irs-pdf/i8960.pdf,2025 Inst 8960                           (PDF),instructions
p501.pdf,https://www.irs.gov/pub/irs-pdf/p501.pdf,2025 Publ 501                            (PDF),publications
p547ko.pdf,https://www.irs.gov/pub/irs-pdf/p547ko.pdf,2025 Publ 547 (ko)                       (PDF),publications
p584.pdf,https://www.irs.gov/pub/irs-pdf/p584.pdf,1225 Publ 584                            (PDF),publications
p5316.pdf,https://www.irs.gov/pub/irs-pdf/p5316.pdf,0126 Publ 5316                           (PDF),publications
p514.pdf,https://www.irs.gov/pub/irs-pdf/p514.pdf,2025 Publ 514                            (PDF),publications
i1040s8s.pdf,https://www.irs.gov/pub/irs-pdf/i1040s8s.pdf,2025 Inst 1040 (Schedule 8812) (sp)      (PDF),instructions
p17sp.pdf,https://www.irs.gov/pub/irs-pdf/p17sp.pdf,2025 Publ 17 (sp)                        (PDF),publications
i990t.pdf,https://www.irs.gov/pub/irs-pdf/i990t.pdf,2025 Inst 990-T                          (PDF),instructions
p939.pdf,https://www.irs.gov/pub/irs-pdf/p939.pdf,1225 Publ 939                            (PDF),publications
p547.pdf,https://www.irs.gov/pub/irs-pdf/p547.pdf,2025 Publ 547                            (PDF),publications
f15111.pdf,https://www.irs.gov/pub/irs-pdf/f15111.pdf,0226 Form 15111                          (PDF),forms
p5718.pdf,https://www.irs.gov/pub/irs-pdf/p5718.pdf,0126 Publ 5718                           (PDF),publications
f15112.pdf,https://www.irs.gov/pub/irs-pdf/f15112.pdf,0226 Form 15112                          (PDF),forms
f15110.pdf,https://www.irs.gov/pub/irs-pdf/f15110.pdf,0226 Form 15110                          (PDF),forms
p6127.pdf,https://www.irs.gov/pub/irs-pdf/p6127.pdf,0226 Publ 6127                           (PDF),publications
p6118.pdf,https://www.irs.gov/pub/irs-pdf/p6118.pdf,0126 Publ 6118                           (PDF),publications
i8283.pdf,https://www.irs.gov/pub/irs-pdf/i8283.pdf,1225 Inst 8283                           (PDF),instructions
p6126.pdf,https://www.irs.gov/pub/irs-pdf/p6126.pdf,0126 Publ 6126                           (PDF),publications
i4626.pdf,https://www.irs.gov/pub/irs-pdf/i4626.pdf,2025 Inst 4626                           (PDF),instructions
i8814.pdf,https://www.irs.gov/pub/irs-pdf/i8814.pdf,2025 Inst 8814                           (PDF),instructions
fw2c.pdf,https://www.irs.gov/pub/irs-pdf/fw2c.pdf,0126 Form W-2C                           (PDF),forms
i1040gi.pdf,https://www.irs.gov/pub/irs-pdf/i1040gi.pdf,2025 Inst 1040                           (PDF),instructions
i3468.pdf,https://www.irs.gov/pub/irs-pdf/i3468.pdf,2025 Inst 3468                           (PDF),instructions
iw2w3.pdf,https://www.irs.gov/pub/irs-pdf/iw2w3.pdf,2026 Inst W-2 and W-3                    (PDF),instructions
i1120rei.pdf,https://www.irs.gov/pub/irs-pdf/i1120rei.pdf,2025 Inst 1120-REIT                      (PDF),instructions
i1120s.pdf,https://www.irs.gov/pub/irs-pdf/i1120s.pdf,2025 Inst 1120-S                         (PDF),instructions
i5471.pdf,https://www.irs.gov/pub/irs-pdf/i5471.pdf,1225 Inst 5471                           (PDF),instructions
i5695.pdf,https://www.irs.gov/pub/irs-pdf/i5695.pdf,2025 Inst 5695                           (PDF),instructions
i1120icd.pdf,https://www.irs.gov/pub/irs-pdf/i1120icd.pdf,1225 Inst 1120-IC-DISC                   (PDF),instructions
i8613.pdf,https://www.irs.gov/pub/irs-pdf/i8613.pdf,1225 Inst 8613                           (PDF),instructions
i8962.pdf,https://www.irs.gov/pub/irs-pdf/i8962.pdf,2025 Inst 8962                           (PDF),instructions
i709na.pdf,https://www.irs.gov/pub/irs-pdf/i709na.pdf,2025 Inst 709-NA                         (PDF),instructions
i1040nr.pdf,https://www.irs.gov/pub/irs-pdf/i1040nr.pdf,2025 Inst 1040-NR                        (PDF),instructions
i1041.pdf,https://www.irs.gov/pub/irs-pdf/i1041.pdf,2025 Inst 1041                           (PDF),instructions
i1120ric.pdf,https://www.irs.gov/pub/irs-pdf/i1120ric.pdf,2025 Inst 1120-RIC                       (PDF),instructions
p530.pdf,https://www.irs.gov/pub/irs-pdf/p530.pdf,2025 Publ 530                            (PDF),publications
f709.pdf,https://www.irs.gov/pub/irs-pdf/f709.pdf,2025 Form 709                            (PDF),forms
p5223.pdf,https://www.irs.gov/pub/irs-pdf/p5223.pdf,1125 Publ 5223                           (PDF),publications
i1120l.pdf,https://www.irs.gov/pub/irs-pdf/i1120l.pdf,2025 Inst 1120-L                         (PDF),instructions
i1120pc.pdf,https://www.irs.gov/pub/irs-pdf/i1120pc.pdf,2025 Inst 1120-PC                        (PDF),instructions
p4134sp.pdf,https://www.irs.gov/pub/irs-pdf/p4134sp.pdf,0126 Publ 4134 (sp)                      (PDF),publications
p4134.pdf,https://www.irs.gov/pub/irs-pdf/p4134.pdf,0126 Publ 4134                           (PDF),publications
f5498e.pdf,https://www.irs.gov/pub/irs-pdf/f5498e.pdf,1226 Form 5498-ESA                       (PDF),forms
p5440.pdf,https://www.irs.gov/pub/irs-pdf/p5440.pdf,0226 Publ 5440                           (PDF),publications
p5146.pdf,https://www.irs.gov/pub/irs-pdf/p5146.pdf,0126 Publ 5146                           (PDF),publications
i5498e.pdf,https://www.irs.gov/pub/irs-pdf/i5498e.pdf,1226 Inst 5498-ESA                       (PDF),instructions
p4491x.pdf,https://www.irs.gov/pub/irs-pdf/p4491x.pdf,0126 Publ 4491-X                         (PDF),publications
i8867.pdf,https://www.irs.gov/pub/irs-pdf/i8867.pdf,1125 Inst 8867                           (PDF),instructions
i8995a.pdf,https://www.irs.gov/pub/irs-pdf/i8995a.pdf,2025 Inst 8995-A                         (PDF),instructions
i8995.pdf,https://www.irs.gov/pub/irs-pdf/i8995.pdf,2025 Inst 8995                           (PDF),instructions
p1915.pdf,https://www.irs.gov/pub/irs-pdf/p1915.pdf,1225 Publ 1915                           (PDF),publications
p5081.pdf,https://www.irs.gov/pub/irs-pdf/p5081.pdf,1225 Publ 5081                           (PDF),publications
p5078.pdf,https://www.irs.gov/pub/irs-pdf/p5078.pdf,1225 Publ 5078                           (PDF),publications
p4298.pdf,https://www.irs.gov/pub/irs-pdf/p4298.pdf,0126 Publ 4298                           (PDF),publications
p5319.pdf,https://www.irs.gov/pub/irs-pdf/p5319.pdf,0126 Publ 5319                           (PDF),publications
p5735.pdf,https://www.irs.gov/pub/irs-pdf/p5735.pdf,0126 Publ 5735                           (PDF),publications
p554.pdf,https://www.irs.gov/pub/irs-pdf/p554.pdf,2025 Publ 554                            (PDF),publications
p1212.pdf,https://www.irs.gov/pub/irs-pdf/p1212.pdf,1225 Publ 1212                           (PDF),publications
p962esp.pdf,https://www.irs.gov/pub/irs-pdf/p962esp.pdf,0126 Publ 962 (en-sp)                    (PDF),publications
i8612.pdf,https://www.irs.gov/pub/irs-pdf/i8612.pdf,1225 Inst 8612                           (PDF),instructions
p962.pdf,https://www.irs.gov/pub/irs-pdf/p962.pdf,0126 Publ 962                            (PDF),publications
p4078.pdf,https://www.irs.gov/pub/irs-pdf/p4078.pdf,0126 Publ 4078                           (PDF),publications
p5274.pdf,https://www.irs.gov/pub/irs-pdf/p5274.pdf,0126 Publ 5274                           (PDF),publications
i1120f.pdf,https://www.irs.gov/pub/irs-pdf/i1120f.pdf,2025 Inst 1120-F                         (PDF),instructions
i1040s8.pdf,https://www.irs.gov/pub/irs-pdf/i1040s8.pdf,2025 Inst 1040 (Schedule 8812)           (PDF),instructions
i8866.pdf,https://www.irs.gov/pub/irs-pdf/i8866.pdf,1225 Inst 8866                           (PDF),instructions
f8453tr.pdf,https://www.irs.gov/pub/irs-pdf/f8453tr.pdf,1225 Form 8453-TR                        (PDF),forms
i4684.pdf,https://www.irs.gov/pub/irs-pdf/i4684.pdf,2025 Inst 4684                           (PDF),instructions
f13768.pdf,https://www.irs.gov/pub/irs-pdf/f13768.pdf,0126 Form 13768                          (PDF),forms
p5533c.pdf,https://www.irs.gov/pub/irs-pdf/p5533c.pdf,1225 Publ 5533-C                         (PDF),publications
f8332.pdf,https://www.irs.gov/pub/irs-pdf/f8332.pdf,1225 Form 8332                           (PDF),forms
i8829.pdf,https://www.irs.gov/pub/irs-pdf/i8829.pdf,2025 Inst 8829                           (PDF),instructions
i8949.pdf,https://www.irs.gov/pub/irs-pdf/i8949.pdf,2025 Inst 8949                           (PDF),instructions
p17ko.pdf,https://www.irs.gov/pub/irs-pdf/p17ko.pdf,2025 Publ 17 (ko)                        (PDF),publications
p596vie.pdf,https://www.irs.gov/pub/irs-pdf/p596vie.pdf,2025 Publ 596 (vie)                      (PDF),publications
fw4vie.pdf,https://www.irs.gov/pub/irs-pdf/fw4vie.pdf,2026 Form W-4 (vie)                      (PDF),forms
p17vie.pdf,https://www.irs.gov/pub/irs-pdf/p17vie.pdf,2025 Publ 17 (vie)                       (PDF),publications
i8615.pdf,https://www.irs.gov/pub/irs-pdf/i8615.pdf,2025 Inst 8615                           (PDF),instructions
p590b.pdf,https://www.irs.gov/pub/irs-pdf/p590b.pdf,2025 Publ 590-B                          (PDF),publications
p6038.pdf,https://www.irs.gov/pub/irs-pdf/p6038.pdf,0126 Publ 6038                           (PDF),publications
p5439.pdf,https://www.irs.gov/pub/irs-pdf/p5439.pdf,0126 Publ 5439                           (PDF),publications
p4012sp.pdf,https://www.irs.gov/pub/irs-pdf/p4012sp.pdf,1025 Publ 4012 (sp)                      (PDF),publications
p907.pdf,https://www.irs.gov/pub/irs-pdf/p907.pdf,2025 Publ 907                            (PDF),publications
f4720.pdf,https://www.irs.gov/pub/irs-pdf/f4720.pdf,2025 Form 4720                           (PDF),forms
i8990.pdf,https://www.irs.gov/pub/irs-pdf/i8990.pdf,1225 Inst 8990                           (PDF),instructions
i4466.pdf,https://www.irs.gov/pub/irs-pdf/i4466.pdf,1225 Inst 4466                           (PDF),instructions
p17.pdf,https://www.irs.gov/pub/irs-pdf/p17.pdf,2025 Publ 17                             (PDF),publications
f13287.pdf,https://www.irs.gov/pub/irs-pdf/f13287.pdf,0126 Form 13287                          (PDF),forms
i1120.pdf,https://www.irs.gov/pub/irs-pdf/i1120.pdf,2025 Inst 1120                           (PDF),instructions
i1120c.pdf,https://www.irs.gov/pub/irs-pdf/i1120c.pdf,2025 Inst 1120-C                         (PDF),instructions
p5456.pdf,https://www.irs.gov/pub/irs-pdf/p5456.pdf,0126 Publ 5456                           (PDF),publications
i708.pdf,https://www.irs.gov/pub/irs-pdf/i708.pdf,1225 Inst 708                            (PDF),instructions
f708.pdf,https://www.irs.gov/pub/irs-pdf/f708.pdf,1225 Form 708                            (PDF),forms
i1040scs.pdf,https://www.irs.gov/pub/irs-pdf/i1040scs.pdf,2025 Inst 1040 (Schedule C) (sp)         (PDF),instructions
i8991.pdf,https://www.irs.gov/pub/irs-pdf/i8991.pdf,1225 Inst 8991                           (PDF),instructions
i8804.pdf,https://www.irs.gov/pub/irs-pdf/i8804.pdf,"0126 Inst 8804, 8805 and 8813            (PDF)",instructions
i6251.pdf,https://www.irs.gov/pub/irs-pdf/i6251.pdf,2025 Inst 6251                           (PDF),instructions
i1120h.pdf,https://www.irs.gov/pub/irs-pdf/i1120h.pdf,2025 Inst 1120-H                         (PDF),instructions
i1065.pdf,https://www.irs.gov/pub/irs-pdf/i1065.pdf,2025 Inst 1065                           (PDF),instructions
i3800.pdf,https://www.irs.gov/pub/irs-pdf/i3800.pdf,2025 Inst 3800                           (PDF),instructions
p571.pdf,https://www.irs.gov/pub/irs-pdf/p571.pdf,0126 Publ 571                            (PDF),publications
i990sa.pdf,https://www.irs.gov/pub/irs-pdf/i990sa.pdf,2025 Inst 990 or 990-EZ (Sch A)          (PDF),instructions
i8955ssa.pdf,https://www.irs.gov/pub/irs-pdf/i8955ssa.pdf,2025 Inst 8955-SSA                       (PDF),instructions
i8752.pdf,https://www.irs.gov/pub/irs-pdf/i8752.pdf,1225 Inst 8752                           (PDF),instructions
i990ez.pdf,https://www.irs.gov/pub/irs-pdf/i990ez.pdf,2025 Inst 990-EZ                         (PDF),instructions
p575.pdf,https://www.irs.gov/pub/irs-pdf/p575.pdf,2025 Publ 575                            (PDF),publications
i990pf.pdf,https://www.irs.gov/pub/irs-pdf/i990pf.pdf,2025 Inst 990-PF                         (PDF),instructions
p590a.pdf,https://www.irs.gov/pub/irs-pdf/p590a.pdf,2025 Publ 590-A                          (PDF),publications
i8881.pdf,https://www.irs.gov/pub/irs-pdf/i8881.pdf,1225 Inst 8881                           (PDF),instructions
f8955ssa.pdf,https://www.irs.gov/pub/irs-pdf/f8955ssa.pdf,2025 Form 8955-SSA                       (PDF),forms
p1040.pdf,https://www.irs.gov/pub/irs-pdf/p1040.pdf,2025 Publ 1040                           (PDF),publications
p3.pdf,https://www.irs.gov/pub/irs-pdf/p3.pdf,2025 Publ 3                              (PDF),publications
i5310a.pdf,https://www.irs.gov/pub/irs-pdf/i5310a.pdf,1225 Inst 5310-A                         (PDF),instructions
f5434a.pdf,https://www.irs.gov/pub/irs-pdf/f5434a.pdf,0126 Form 5434-A                         (PDF),forms
i7213.pdf,https://www.irs.gov/pub/irs-pdf/i7213.pdf,1225 Inst 7213                           (PDF),instructions
f8881.pdf,https://www.irs.gov/pub/irs-pdf/f8881.pdf,1225 Form 8881                           (PDF),forms
fct1.pdf,https://www.irs.gov/pub/irs-pdf/fct1.pdf,2025 Form CT-1                           (PDF),forms
ict1.pdf,https://www.irs.gov/pub/irs-pdf/ict1.pdf,2025 Inst CT-1                           (PDF),instructions
i1098.pdf,https://www.irs.gov/pub/irs-pdf/i1098.pdf,1226 Inst 1098                           (PDF),instructions
f8752.pdf,https://www.irs.gov/pub/irs-pdf/f8752.pdf,1225 Form 8752                           (PDF),forms
f2210f.pdf,https://www.irs.gov/pub/irs-pdf/f2210f.pdf,2025 Form 2210-F                         (PDF),forms
f2120.pdf,https://www.irs.gov/pub/irs-pdf/f2120.pdf,1225 Form 2120                           (PDF),forms
i8876.pdf,https://www.irs.gov/pub/irs-pdf/i8876.pdf,1225 Inst 8876                           (PDF),instructions
i1041n.pdf,https://www.irs.gov/pub/irs-pdf/i1041n.pdf,1225 Inst 1041-N                         (PDF),instructions
fw2vi.pdf,https://www.irs.gov/pub/irs-pdf/fw2vi.pdf,2026 Form W-2VI                          (PDF),forms
f2210.pdf,https://www.irs.gov/pub/irs-pdf/f2210.pdf,2025 Form 2210                           (PDF),forms
i7211.pdf,https://www.irs.gov/pub/irs-pdf/i7211.pdf,1225 Inst 7211                           (PDF),instructions
i8862sp.pdf,https://www.irs.gov/pub/irs-pdf/i8862sp.pdf,1225 Inst 8862 (sp)                      (PDF),instructions
f8453fe.pdf,https://www.irs.gov/pub/irs-pdf/f8453fe.pdf,2025 Form 8453-FE                        (PDF),forms
f8862sp.pdf,https://www.irs.gov/pub/irs-pdf/f8862sp.pdf,1225 Form 8862 (sp)                      (PDF),forms
f1120icd.pdf,https://www.irs.gov/pub/irs-pdf/f1120icd.pdf,1225 Form 1120-IC-DISC                   (PDF),forms
i4547sp.pdf,https://www.irs.gov/pub/irs-pdf/i4547sp.pdf,1225 Inst 4547 (sp)                      (PDF),instructions
f8697.pdf,https://www.irs.gov/pub/irs-pdf/f8697.pdf,1225 Form 8697                           (PDF),forms
i8621.pdf,https://www.irs.gov/pub/irs-pdf/i8621.pdf,1225 Inst 8621                           (PDF),instructions
f5330.pdf,https://www.irs.gov/pub/irs-pdf/f5330.pdf,1225 Form 5330                           (PDF),forms
i1041qft.pdf,https://www.irs.gov/pub/irs-pdf/i1041qft.pdf,2025 Inst 1041-QFT                       (PDF),instructions
f4684.pdf,https://www.irs.gov/pub/irs-pdf/f4684.pdf,2025 Form 4684                           (PDF),forms
f4466.pdf,https://www.irs.gov/pub/irs-pdf/f4466.pdf,1225 Form 4466                           (PDF),forms
f990tsa.pdf,https://www.irs.gov/pub/irs-pdf/f990tsa.pdf,2025 Form 990-T (Schedule A)             (PDF),forms
f990t.pdf,https://www.irs.gov/pub/irs-pdf/f990t.pdf,2025 Form 990-T                          (PDF),forms
fw4ru.pdf,https://www.irs.gov/pub/irs-pdf/fw4ru.pdf,2026 Form W-4 (ru)                       (PDF),forms
f1120ssk.pdf,https://www.irs.gov/pub/irs-pdf/f1120ssk.pdf,2025 Form 1120-S (Schedule K-1)          (PDF),forms
f990sm.pdf,https://www.irs.gov/pub/irs-pdf/f990sm.pdf,2025 Form 990 (Schedule M)               (PDF),forms
f8453eg.pdf,https://www.irs.gov/pub/irs-pdf/f8453eg.pdf,1225 Form 8453-EG                        (PDF),forms
f1065sd.pdf,https://www.irs.gov/pub/irs-pdf/f1065sd.pdf,2025 Form 1065 (Schedule D)              (PDF),forms
f990ez.pdf,https://www.irs.gov/pub/irs-pdf/f990ez.pdf,2025 Form 990-EZ                         (PDF),forms
f8879eg.pdf,https://www.irs.gov/pub/irs-pdf/f8879eg.pdf,1225 Form 8879-EG                        (PDF),forms
f709na.pdf,https://www.irs.gov/pub/irs-pdf/f709na.pdf,2025 Form 709-NA                         (PDF),forms
f8615.pdf,https://www.irs.gov/pub/irs-pdf/f8615.pdf,2025 Form 8615                           (PDF),forms
f8933sf.pdf,https://www.irs.gov/pub/irs-pdf/f8933sf.pdf,1225 Form 8933 (Schedule F) (pdf),forms
f8933sc.pdf,https://www.irs.gov/pub/irs-pdf/f8933sc.pdf,1225 Form 8933 (Schedule C) (pdf),forms
f8933sd.pdf,https://www.irs.gov/pub/irs-pdf/f8933sd.pdf,1225 Form 8933 (Schedule D) (pdf),forms
f8933se.pdf,https://www.irs.gov/pub/irs-pdf/f8933se.pdf,1225 Form 8933 (Schedule E) (pdf),forms
f8933sb.pdf,https://www.irs.gov/pub/irs-pdf/f8933sb.pdf,1225 Form 8933 (Schedule B) (pdf),forms
f8911sa.pdf,https://www.irs.gov/pub/irs-pdf/f8911sa.pdf,1225 Form 8911 (Schedule A)              (PDF),forms
f1041n.pdf,https://www.irs.gov/pub/irs-pdf/f1041n.pdf,1225 Form 1041-N                         (PDF),forms
i1120sk3.pdf,https://www.irs.gov/pub/irs-pdf/i1120sk3.pdf,2025 Inst 1120-S (Schedule K-3)          (PDF),instructions
fss4sp.pdf,https://www.irs.gov/pub/irs-pdf/fss4sp.pdf,1225 Form SS-4 (sp)                      (PDF),forms
iss4sp.pdf,https://www.irs.gov/pub/irs-pdf/iss4sp.pdf,1225 Inst SS-4 (sp)                      (PDF),instructions
f8404.pdf,https://www.irs.gov/pub/irs-pdf/f8404.pdf,2025 Form 8404                           (PDF),forms
i1065s23.pdf,https://www.irs.gov/pub/irs-pdf/i1065s23.pdf,2025 Inst 1065 (Schedule K-2 & K-3)      (PDF),instructions
fw2gu.pdf,https://www.irs.gov/pub/irs-pdf/fw2gu.pdf,2026 Form W-2GU                          (PDF),forms
f7210.pdf,https://www.irs.gov/pub/irs-pdf/f7210.pdf,2025 Form 7210                           (PDF),forms
